rank,ticker,name,industry,screen_score,base_dcf_margin,financial_gate,screen_status,moat_proxy_status
1,000568.SZ,泸州老窖,食品饮料,75.72998906111157,0.9677920744176252,PASS_CASH_EARNINGS,WATCH,NO_POSITION_EVIDENCE
2,002027.SZ,分众传媒,传媒,72.78059214091489,0.0344225462242595,PASS_CASH_EARNINGS,WATCH,POSITION_ONLY_REVIEW
3,000651.SZ,格力电器,家用电器,72.46787390614043,1.2131323435411687,PASS_CASH_EARNINGS,DEFENSIVE_ELIGIBLE,SCALE_COST_LEADER_PROXY
4,603195.SH,公牛集团,轻工制造,71.4831277557944,-0.1253394930307527,PASS_CASH_EARNINGS,WATCH,BRAND_PRICING_POWER_PROXY
5,300760.SZ,迈瑞医疗,医药生物,71.11578248750696,-0.0455176105429933,PASS_CASH_EARNINGS,WATCH,BRAND_PRICING_POWER_PROXY
6,300896.SZ,爱美客,美容护理,71.03182324632185,-0.03725791753042,PASS_CASH_EARNINGS,WATCH,BRAND_PRICING_POWER_PROXY
7,603605.SH,珀莱雅,美容护理,70.94022744288371,0.1163250557712003,PASS_CASH_EARNINGS,DEFENSIVE_ELIGIBLE,BRAND_PRICING_POWER_PROXY
8,600809.SH,山西汾酒,食品饮料,69.70730892809351,0.3282841332210862,PASS_CASH_EARNINGS,DEFENSIVE_ELIGIBLE,BRAND_PRICING_POWER_PROXY
